energy (eV)	irradiance (eV s^-1 cm^-2 Hz^-1)
1.85674576463    1067.80281288
1.85688480505    1068.23922607
1.8570238663    1068.97357757
1.85716294837    1069.88300001
1.85730205128    1070.84471815
1.85744117503    1071.80610287
1.85758031962    1072.76716351
1.85771948506    1073.65781137
1.85785867136    1074.39047556
1.85799787851    1074.86012541
1.85813710653    1074.99681257
1.85827635541    1074.8532171
1.85841562517    1074.51702419
1.8585549158    1074.11087937
1.85869422732    1073.68730239
1.85883355972    1073.24631965
1.85897291301    1072.84043007
1.8591122872    1072.45212657
1.85925168229    1072.13386734
1.85939109828    1071.9730975
1.85953053518    1071.93476083
1.859669993    1072.01880223
1.85980947173    1072.17272281
1.8599489714    1072.34402735
1.86008849198    1072.53273576
1.86022803351    1072.73882169
1.86036759597    1072.92733261
1.86050717937    1073.15069941
1.86064678372    1073.40888788
1.86078640902    1073.71936989
1.86092605528    1074.0995606
1.8610657225    1074.51452861
1.86120541069    1074.96424896
1.86134511985    1075.41379798
1.86148484998    1075.86316646
1.8616246011    1076.31237288
1.8617643732    1076.77885878
1.86190416629    1077.26260708
1.86204398037    1077.79850095
1.86218381546    1078.35163108
1.86232367155    1078.9743012
1.86246354864    1079.63162307
1.86260344675    1080.28871094
1.86274336588    1080.96298803
1.86288330604    1081.61960539
1.86302326722    1082.27597962
1.86316324943    1082.810185
1.86330325268    1083.13517609
1.86344327697    1083.07689088
1.86358332231    1082.54845551
1.8637233887    1081.60228737
1.86386347615    1080.3778481
1.86400358465    1079.03191525
1.86414371423    1077.63413179
1.86428386487    1076.23674126
1.86442403659    1074.87452718
1.86456422939    1073.54747382
1.86470444327    1072.37730814
1.86484467825    1071.41612971
1.86498493431    1070.69861619
1.86512521148    1070.18988188
1.86526550975    1069.80294296
1.86540582913    1069.48559645
1.86554616962    1069.16830912
1.86568653123    1068.85107175
1.86582691397    1068.53390274
1.86596731783    1068.23416511
1.86610774282    1067.9518418
1.86624818895    1067.70429198
1.86638865623    1067.47414477
1.86652914465    1067.2787449
1.86666965422    1067.08335839
1.86681018495    1066.88800362
1.86695073683    1066.71002531
1.86709130989    1066.51471301
1.86723190411    1066.31942324
1.86737251952    1066.07212695
1.8675131561    1065.77284763
1.86765381386    1065.36960455
1.86779449282    1064.89711204
1.86793519297    1064.33806579
1.86807591432    1063.76181871
1.86821665687    1063.1857182
1.86835742063    1062.5924181
1.86849820561    1062.01659496
1.8686390118    1061.52749458
1.86877983922    1061.1943485
1.86892068787    1061.17291499
1.86906155775    1061.53228462
1.86920244886    1062.23767006
1.86934336122    1063.1677847
1.86948429483    1064.2013967
1.86962524969    1065.25196506
1.86976622581    1066.33677455
1.86990722318    1067.40392143
1.87004824183    1068.48800654
1.87018928174    1069.53714962
1.87033034294    1070.58593974
1.87047142541    1071.61708829
1.87061252917    1072.63060314
1.87075365422    1073.64378473
1.87089480056    1074.65662395
1.87103596821    1075.65184263
1.87117715716    1076.64672423
1.87131836742    1077.6239958
1.87145959899    1078.5318814
1.87160085189    1079.33585846
1.87174212611    1079.9842149
1.87188342165    1080.42523337
1.87202473854    1080.74528932
1.87216607676    1080.96168571
1.87230743632    1081.16073416
1.87244881723    1081.34244249
1.8725902195    1081.50680027
1.87273164313    1081.63659577
1.87287308811    1081.66286723
1.87301455447    1081.4822476
1.8731560422    1081.06034324
1.87329755131    1080.34558127
1.8734390818    1079.45869548
1.87358063367    1078.46868012
1.87372220694    1077.42724995
1.87386380161    1076.38609761
1.87400541767    1075.36244657
1.87414705515    1074.37349167
1.87428871403    1073.48809051
1.87443039433    1072.77504079
1.87457209606    1072.30309863
1.87471381921    1072.02053233
1.87485556379    1071.89284935
1.8749973298    1071.83398029
1.87513911726    1071.79228585
1.87528092616    1071.75056726
1.87542275651    1071.69162703
1.87556460832    1071.59828717
1.87570648159    1071.36743687
1.87584837632    1070.93038888
1.87599029253    1070.21850666
1.87613223021    1069.31781014
1.87627418936    1068.27993073
1.87641617001    1067.19080904
1.87655817214    1066.08479453
1.87670019576    1064.97908723
1.87684224089    1063.9080119
1.87698430752    1062.94021029
1.87712639566    1062.19578143
1.87726850531    1061.76041517
1.87741063648    1061.68544536
1.87755278918    1061.88493403
1.8776949634    1062.25583931
1.87783715915    1062.6780556
1.87797937645    1063.1343907
1.87812161529    1063.55626387
1.87826387567    1063.92655429
1.87840615761    1064.09102642
1.87854846111    1063.91267852
1.87869078617    1063.23747233
1.8788331328    1062.04849861
1.878975501    1060.48302389
1.87911789077    1058.7295942
1.87926030213    1056.89104097
1.87940273508    1055.03589292
1.87954518962    1053.21550605
1.87968766576    1051.49832476
1.87983016349    1050.07255243
1.87997268284    1049.16048884
1.8801152238    1048.89876729
1.88025778637    1049.23576457
1.88040037056    1050.00019699
1.88054297639    1050.98665863
1.88068560384    1052.02407987
1.88082825293    1053.07823986
1.88097092366    1054.11495659
1.88111361604    1055.06587254
1.88125633007    1055.7943258
1.88139906575    1056.18083484
1.8815418231    1056.10598167
1.88168460211    1055.67244847
1.8818274028    1054.99993583
1.88197022515    1054.22514975
1.88211306919    1053.41641153
1.88225593492    1052.60788241
1.88239882234    1051.79957139
1.88254173145    1051.04265435
1.88268466226    1050.37123812
1.88282761478    1049.81939974
1.88297058901    1049.40413567
1.88311358495    1049.12539277
1.88325660262    1048.89785333
1.88339964201    1048.68738982
1.88354270312    1048.49400347
1.88368578598    1048.30063959
1.88382889058    1048.03913879
1.88397201692    1047.64137411
1.88411516501    1046.98816052
1.88425833485    1045.94336692
1.88440152646    1044.52418785
1.88454473983    1042.79890171
1.88468797497    1040.92088954
1.88483123188    1038.99234249
1.88497451058    1037.03030742
1.88511781106    1035.05181186
1.88526113333    1033.03985404
1.88540447739    1030.92640391
1.88554784325    1028.64346383
1.88569123092    1026.14008822
1.8858346404    1023.39938778
1.88597807169    1020.52346821
1.88612152481    1017.56339131
1.88626499974    1014.58718821
1.88640849651    1011.5778688
1.88655201511    1008.5184533
1.88669555555    1005.23907489
1.88683911784    1001.45108502
1.88698270197    996.781055798
1.88712630796    991.042628969
1.88726993581    984.355114717
1.88741358553    977.092427873
1.88755725711    969.560347457
1.88770095057    961.945671844
1.8878446659    954.333281154
1.88798840312    946.8758632
1.88813216224    939.810828579
1.88827594324    933.663771202
1.88841974615    928.976917323
1.88856357096    925.936104489
1.88870741767    924.235437338
1.88885128631    923.314952907
1.88899517686    922.733661005
1.88913908934    922.254188141
1.88928302374    921.825649573
1.88942698009    921.583543176
1.88957095837    921.764911808
1.88971495859    922.809851104
1.88985898077    925.107398965
1.8900030249    928.707764104
1.89014709099    933.322611027
1.89029117904    938.477589564
1.89043528906    943.867857101
1.89057942106    949.307216781
1.89072357504    954.744875811
1.890867751    960.197761029
1.89101194895    965.598222349
1.8911561689    970.980081391
1.89130041085    976.275742077
1.8914446748    981.535947502
1.89158896076    986.726912686
1.89173326874    991.916250783
1.89187759874    997.087080232
1.89202195076    1002.23940001
1.89216632481    1007.35634144
1.8923107209    1012.28590201
1.89245513902    1016.7917969
1.8925995792    1020.58719854
1.89274404142    1023.46986648
1.8928885257    1025.55837156
1.89303303204    1027.12306992
1.89317756044    1028.45103814
1.89332211091    1029.69421348
1.89346668346    1030.92011083
1.89361127809    1032.1793173
1.89375589481    1033.5224248
1.89390053362    1035.06739499
1.89404519452    1036.94900517
1.89418987752    1039.21765828
1.89433458263    1041.78891541
1.89447930985    1044.56154488
1.89462405919    1047.40067546
1.89476883064    1050.25574097
1.89491362423    1053.10990609
1.89505843994    1055.8789651
1.89520327779    1058.41142894
1.89534813778    1060.52222564
1.89549301992    1061.97592635
1.89563792421    1062.72233424
1.89578285066    1062.94685992
1.89592779927    1062.86845576
1.89607277004    1062.67228157
1.89621776299    1062.42568971
1.89636277812    1062.1791271
1.89650781542    1061.93260263
1.89665287492    1061.63568127
1.8967979566    1061.30520713
1.89694306048    1060.89075822
1.89708818657    1060.40918895
1.89723333486    1059.86053014
1.89737850537    1059.29520911
1.89752369809    1058.73001498
1.89766891304    1058.14816888
1.89781415021    1057.56646368
1.89795940962    1056.96810788
1.89810469126    1056.31954018
1.89824999515    1055.58722874
1.89839532129    1054.7712032
1.89854066968    1053.85472085
1.89868604032    1052.87139411
1.89883143324    1051.87154649
1.89897684842    1050.85520345
1.89912228587    1049.83913472
1.89926774561    1048.84010864
1.89941322762    1047.87487443
1.89955873193    1046.99368861
1.89970425853    1046.24679467
1.89984980743    1045.68439639
1.89999537864    1045.25613358
1.90014097216    1044.91172116
1.90028658799    1044.60086942
1.90043222614    1044.29007615
1.90057788661    1044.01282302
1.90072356942    1043.73561808
1.90086927456    1043.54214428
1.90101500204    1043.48255811
1.90116075187    1043.64046414
1.90130652405    1044.03248589
1.90145231858    1044.59160503
1.90159813548    1045.26758927
1.90174397474    1045.97676107
1.90188983637    1046.70240062
1.90203572038    1047.42778064
1.90218162678    1048.15291002
1.90232755555    1048.8610566
1.90247350672    1049.56895772
1.90261948029    1050.25989521
1.90276547626    1050.9338768
1.90291149464    1051.59091905
1.90305753543    1052.24772249
1.90320359864    1052.90427832
1.90334968427    1053.54391654
1.90349579233    1054.2000063
1.90364192282    1054.80579199
1.90378807575    1055.32792785
1.90393425112    1055.71641115
1.90408044895    1055.92125224
1.90422666922    1055.95922567
1.90437291196    1055.89709617
1.90451917716    1055.76827074
1.90466546483    1055.62276523
1.90481177498    1055.46060497
1.9049581076    1055.29845716
1.90510446271    1055.06967631
1.90525084031    1054.69099463
1.90539724041    1054.0958474
1.905543663    1053.21771965
1.9056901081    1052.10670854
1.90583657572    1050.8628042
1.90598306584    1049.53601047
1.90612957849    1048.20959621
1.90627611367    1046.86689847
1.90642267138    1045.45803187
1.90656925163    1043.9164575
